"Subscribers","Name","Link","Domain","Email"
"1730000","Learn Coding","https://www.youtube.com/channel/UCV7cZwHMX_0vk8DSYrS7GCg/about","programming coding","add email here"
"307000","Programming Hero","https://www.youtube.com/channel/UCStj-ORBZ7TGK1FwtGAUgbQ/about","programming coding","add email here"
"3440000","Programming with Mosh","https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/about","programming coding","add email here"
"4300000","CodeWithHarry","https://www.youtube.com/channel/UCeVMnSShP_Iviwkknt83cww/about","programming coding","add email here"
"1670000","ProgrammingKnowledge","https://www.youtube.com/channel/UCs6nmQViDpUw0nuIx9c_WvA/about","programming coding","add email here"
"57600","Coding for All | Newton School","https://www.youtube.com/channel/UCjcju-aD_ZcWxiXF5lvqntg/about","programming coding","add email here"
"1280000","Clever Programmer","https://www.youtube.com/channel/UCqrILQNl5Ed9Dz6CGMyvMTQ/about","programming coding","add email here"
"391000","Coding Ninjas","https://www.youtube.com/channel/UCZJlMUYdbtzQ8tVfLvK1KvQ/about","programming coding","add email here"
"3280","CoDing SeeKho(by Vikas Singh)","https://www.youtube.com/channel/UCKiaqToPffdbeSnsBhbPxrw/about","programming coding","add email here"
"416000","College Wallah","https://www.youtube.com/channel/UCDrf0V4fcBr5FlCtKwvpfwA/about","programming coding","add email here"
"1610000","The Coding Train","https://www.youtube.com/channel/UCvjgXvBlbQiydffZU7m1_aw/about","programming coding","add email here"
"250000","Coding with John","https://www.youtube.com/channel/UC42pOSNg804f1wCcj7qL0mA/about","programming coding","add email here"
"8110000","freeCodeCamp.org","https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ/about","programming coding","add email here"
"1330000","Jenny's Lectures CS IT","https://www.youtube.com/channel/UCM-yUTYGmrNvKOCcAl21g3w/about","programming coding","add email here"
"231000","ProgrammingWithHarry","https://www.youtube.com/channel/UC7btqG2Ww0_2LwuQxpvo2HQ/about","programming coding","add email here"
"11500","KnowledgeGate Coding","https://www.youtube.com/channel/UC7uzuZJIYzcxV9JJ1yAtHHg/about","programming coding","add email here"
"94100","Simply Coding","https://www.youtube.com/channel/UCw8_nfV52c102E8A93E6MmA/about","programming coding","add email here"
"117000","Programiz","https://www.youtube.com/channel/UCREFp3D_n8JfcDonlm7Mpyw/about","programming coding","add email here"
"221000","CodingEntrepreneurs","https://www.youtube.com/channel/UCWEHue8kksIaktO8KTTN_zg/about","programming coding","add email here"
"1130000","Bro Code","https://www.youtube.com/channel/UC4SVo0Ue36XCfOyb5Lh1viQ/about","programming coding","add email here"
"397000","Coding with Lewis","https://www.youtube.com/channel/UCWI-ohtRu8eEeDj93hmUsUQ/about","programming coding","add email here"
"78300","Coding Math","https://www.youtube.com/channel/UCF6F8LdCSWlRwQm_hfA2bcQ/about","programming coding","add email here"
"42300","DP Education - Coding School","https://www.youtube.com/channel/UCPfyJ8ACV1DXh_6Yx68IxhA/about","programming coding","add email here"
"115000","Simplified Coding","https://www.youtube.com/channel/UC9YTuDeKzDoyOphWHtdK0jA/about","programming coding","add email here"
"143000","CodingWithMitch","https://www.youtube.com/channel/UCoNZZLhPuuRteu02rh7bzsw/about","programming coding","add email here"
